titulo,canal,visualizacoes,likes
MELHORES MOMENTOS: CRUZEIRO 2 X 1 FLAMENGO | BRASILEIRÃO 2025 | 7ª RODADA,CazéTV,1841062,61542
CORINTHIANS 4 x 2 INTER | MELHORES MOMENTOS | CAMPEONATO BRASILEIRO 2025,Prime Video Sport Brasil,2446268,55726
I Broke Into Famous YouTuber Houses!,Ben Azelart,3273309,46134
Ele Não Desiste de Você (Ao Vivo em Salvador),Maria Marçal - Topic,27961,820
LEVANDO MEU ADVOGADO PARA PROCESSAR ESTABELECIMENTOS! (FT MIZAEL SILV) : MANDE A SUA #347,Tá Gravando,211339,22400
"🚨FFWS BR 🏆RODADA 10 - GRUPOS A, B e D  | FREE FIRE AO VIVO🚨 #freefire",Free Fire Esports Brasil #FREEFIRE,660498,20365
RCD ESPANYOL 1 - 2 REAL BETIS I RESUMEN LALIGA EA SPORTS,LALIGA EA SPORTS,1702453,52976
Os MELHORES MOMENTOS do show da LADY GAGA em Copacabana! | Todo Mundo no Rio,Música Multishow,467956,10541
SEN x G2 | VCT Americas 2025 | Playoffs - Grande Final (MD5),VALORANT Esports BR,204190,5740
Bitelo encara desafio de carregar uma VAN de quase 4 TONELADAS | Domingo Legal (04/05/25),Domingo Legal,104413,7731
JOGO COMPLETO: BRASIL X ITÁLIA | 2ª RODADA | COPA DO MUNDO DE FUTEBOL DE AREIA DA FIFA,CazéTV,1331919,33405
CLEBER XAVIER MEXE MAL NO TIME E SANTOS PERDE MAIS UMA NO BRASILEIRO,Fábio Sormani,145758,14922
“Novo golpe em posto de gasolina”,Celso Russomanno,543740,17772
Melhores Momentos | UFC Des Moines: Sandhagen x Figueiredo,UFC Brasil,248931,10350
VASCO 0 X 1 PALMEIRAS | MELHORES MOMENTOS | 7ª RODADA BRASILEIRÃO 2025 | ge.globo,ge,405397,12364
👑 Kings League Brazil - RODADA 8,Kings League Brazil,1018869,29959
Gabigol... Cruzeiro 2 x 1 Flamengo,Davy Jones Torcedor,64687,8534
"MBAPPÉ faz DOIS, Real Madrid QUASE ENTREGA, mas vence Celta antes de El Clásico | Melhores Momentos",ESPN Brasil,1141703,42734
GRÊMIO 1 X 0 SANTOS | MELHORES MOMENTOS | 7ª RODADA BRASILEIRÃO 2025 | ge.globo,ge,314670,8501
EU PRENDI TODOS OS MOBS REMOVIDOS DO MINECRAFT,Pedrux,404288,11249
